Id,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,Date,SleepEfficiency
1503960366,1,327,346,2016-04-12,94.5
1503960366,2,384,407,2016-04-13,94.3
1503960366,1,412,442,2016-04-15,93.2
1503960366,2,340,367,2016-04-16,92.6
1503960366,1,700,712,2016-04-17,98.3
1503960366,1,304,320,2016-04-19,95.0
1503960366,1,360,377,2016-04-20,95.5
1503960366,1,325,364,2016-04-21,89.3
1503960366,1,361,384,2016-04-23,94.0
1503960366,1,430,449,2016-04-24,95.8
1503960366,1,277,323,2016-04-25,85.8
1503960366,1,245,274,2016-04-26,89.4
1503960366,1,366,393,2016-04-28,93.1
1503960366,1,341,354,2016-04-29,96.3
1503960366,1,404,425,2016-04-30,95.1
1503960366,1,369,396,2016-05-01,93.2
1503960366,1,277,309,2016-05-02,89.6
1503960366,1,273,296,2016-05-03,92.2
1503960366,1,247,264,2016-05-05,93.6
1503960366,1,334,367,2016-05-06,91.0
1503960366,1,331,349,2016-05-07,94.8
1503960366,1,594,611,2016-05-08,97.2
1503960366,1,338,342,2016-05-09,98.8
1503960366,1,383,403,2016-05-10,95.0
1503960366,1,285,306,2016-05-11,93.1
1644430081,1,119,127,2016-04-29,93.7
1644430081,1,124,142,2016-04-30,87.3
1644430081,1,796,961,2016-05-02,82.8
1644430081,1,137,154,2016-05-08,89.0
1844505072,1,644,961,2016-04-15,67.0
1844505072,1,722,961,2016-04-30,75.1
1844505072,1,590,961,2016-05-01,61.4
1927972279,3,750,775,2016-04-12,96.8
1927972279,1,398,422,2016-04-13,94.3
1927972279,2,475,499,2016-04-15,95.2
1927972279,1,296,315,2016-04-26,94.0
1927972279,1,166,178,2016-04-28,93.3
2026352035,1,503,546,2016-04-12,92.1
2026352035,1,531,565,2016-04-13,94.0
2026352035,1,545,568,2016-04-14,96.0
2026352035,1,523,573,2016-04-15,91.3
2026352035,1,524,567,2016-04-16,92.4
2026352035,1,437,498,2016-04-17,87.8
2026352035,1,498,540,2016-04-19,92.2
2026352035,1,461,510,2016-04-20,90.4
2026352035,1,477,514,2016-04-21,92.8
2026352035,1,520,545,2016-04-22,95.4
2026352035,1,522,554,2016-04-23,94.2
2026352035,1,555,591,2016-04-24,93.9
2026352035,1,506,531,2016-04-25,95.3
2026352035,1,508,545,2016-04-27,93.2
2026352035,1,513,545,2016-04-28,94.1
2026352035,1,490,510,2016-04-29,96.1
2026352035,1,573,607,2016-04-30,94.4
2026352035,1,527,546,2016-05-01,96.5
2026352035,1,511,543,2016-05-02,94.1
2026352035,1,538,560,2016-05-04,96.1
2026352035,1,468,485,2016-05-05,96.5
2026352035,1,524,548,2016-05-06,95.6
2026352035,1,511,521,2016-05-07,98.1
2026352035,1,541,568,2016-05-08,95.2
2026352035,1,531,556,2016-05-09,95.5
2026352035,1,357,380,2016-05-10,93.9
2026352035,1,523,553,2016-05-11,94.6
2026352035,1,456,485,2016-05-12,94.0
